Machine_ID,Temperature,Run_Time,Downtime_Flag
M_422,107.09,284.47,0
M_601,110.36,436.03,0
M_191,92.41,123.74,1
M_219,53.26,291.29,1
M_165,63.38,334.15,0
M_542,65.56,247.61,1
M_222,51.05,381.55,0
M_454,91.69,24.27,0
M_192,79.01,460.64,1
M_493,79.07,89.28,1
M_296,81.8,202.31,1
M_726,57.36,32.05,0
M_231,117.98,140.23,1
M_928,58.41,32.79,0
M_500,76.17,43.23,0
M_379,76.48,230.7,1
M_643,53.65,319.73,0
M_803,109.2,50.67,0
M_695,76.85,200.2,1
M_419,93.65,402.61,1
M_844,106.92,239.57,1
M_867,52.84,228.51,0
M_696,83.17,457.56,0
M_839,117.82,235.72,0
M_746,92.05,231.0,0
M_546,74.37,419.12,0
M_417,107.85,185.52,0
M_274,107.24,83.25,1
M_445,55.89,101.46,0
M_993,103.64,219.5,0
M_357,74.64,414.92,0
M_960,113.39,219.7,0
M_119,109.67,91.75,0
M_533,95.01,235.23,0
M_862,116.06,232.25,0
M_554,118.42,206.65,0
M_108,111.65,169.3,0
M_251,92.25,388.13,1
M_022,115.01,473.64,0
M_854,69.22,357.39,0
M_579,55.19,102.67,0
M_967,97.35,314.82,0
M_008,60.3,235.49,1
M_457,94.55,52.4,0
M_893,60.17,63.35,1
M_149,107.87,381.8,0
M_076,72.96,226.47,0
M_047,113.46,156.42,0
M_376,95.61,147.13,0
M_777,55.83,236.97,1
M_187,101.42,173.95,0
M_779,112.13,475.98,0
M_365,100.73,83.67,1
M_850,57.46,499.36,1
M_870,117.27,21.42,0
M_540,71.23,430.51,1
M_962,61.09,371.44,1
M_806,96.2,38.27,1
M_754,106.56,495.21,1
M_968,115.28,346.45,0
M_717,70.21,313.97,0
M_361,101.12,225.58,1
M_729,95.86,33.36,1
M_196,102.53,44.13,1
M_413,99.26,19.43,0
M_588,94.04,179.67,0
M_785,89.5,168.37,0
M_309,79.39,245.55,0
M_954,111.87,19.47,0
M_808,98.65,407.91,1
M_575,111.52,463.2,0
M_564,98.44,440.36,1
M_925,82.14,118.1,1
M_230,64.99,213.88,1
M_073,88.56,265.35,1
M_439,80.71,366.81,0
M_038,106.93,209.28,1
M_440,93.46,92.66,1
M_654,67.8,422.65,1
M_943,92.88,458.67,1
M_732,116.53,439.22,1
M_952,115.7,320.23,0
M_765,104.17,350.62,0
M_207,101.52,248.55,1
M_006,77.33,169.06,1
M_900,64.95,28.33,0
M_462,96.63,427.2,1
M_073,88.34,123.93,1
M_089,109.27,470.38,0
M_273,82.0,392.01,0
M_289,76.46,287.55,1
M_922,83.87,96.85,1
M_003,76.23,399.08,1
M_286,97.08,136.42,1
M_915,74.91,378.37,0
M_089,50.77,289.63,1
M_583,54.2,409.62,0
M_294,103.22,369.29,0
M_013,77.44,213.33,0
M_168,104.81,27.07,0
M_243,59.71,261.71,1
M_949,118.66,227.04,0
M_725,118.05,229.95,1
M_947,110.04,39.26,0
M_818,114.75,133.21,0
M_594,79.36,455.8,0
M_370,83.32,427.86,1
M_676,88.42,450.89,0
M_176,111.06,75.69,0
M_803,119.52,193.62,0
M_641,85.56,284.82,1
